Percentage,Class
55,6
60.86666667,2
56.33333333,6
68.4,1
46.06666667,6
47.33333333,6
60,2
57.66666667,3
51.33333333,6
66.6,1
52.46666667,6
54.46666667,6
50.73333333,6
58.13333333,3
60,2
57.53333333,3
51.8,6
68.6,1
47.4,6
56.93333333,3
55,3
58.06666667,3
73.2,1
71.13333333,1
62,2
57.46666667,3
65.33333333,2
54.6,6
61.33333333,6
61.93333333,2
58,3
56.93333333,6
76.4,1
61.66666667,2
62.06666667,2
60.53333333,2
61.8,2
58.33333333,3
61.33333333,2
60,2
45.73333333,6
61.06666667,2
64.8,2
51.13333333,6
61.93333333,6
65.06666667,2
60,2
57.33333333,3
41.6,6
50.4,6
55.8,3
61.26666667,2
47.53333333,6
67.06666667,1
65.46666667,2
61.53333333,2
51.86666667,6
64.46666667,2
51.46666667,4
66.66666667,1
68.93333333,1
68.46666667,1
60.6,2
49.4,6
55,3
63.26666667,2
58.86666667,3
62.26666667,2
69.73333333,1
52.46666667,4
70.06666667,1
57.6,3
51.13333333,6
60.2,2
53.06666667,6
52.33333333,6
66.8,1
70,1
64.4,2
50.13333333,6
52.4,6
57.13333333,6
55.8,3
63.06666667,2
66.2,1
64,2
48.33333333,6
71.93333333,1
61.6,2
57.26666667,3
60,2
60,2
57.93333333,6
65.86666667,2
60.8,2
58.46666667,3
58.46666667,6
50.93333333,6
69,1
34,7
56.26666667,3
48.06666667,6
61.4,2
50.06666667,6
55,3
68.73333333,1
70.53333333,1
62.53333333,2
63.66666667,2
61.13333333,2
60.06666667,2
60.33333333,2
58.53333333,6
56.33333333,3
68.86666667,1
46.53333333,6
65.26666667,2
53.93333333,6
54.26666667,6
39.43,7
63.06666667,2
55.06666667,6
47,6
50.13333333,6
66.93333333,1
66.86666667,1
55.53333333,3
45.73333333,6
53.33333333,4
64.6,6
70.2,6
56.26666667,3
47.86666667,6
47.73333333,6
54.73333333,6
49.66666667,5
65.06666667,2
60,2
77.46666667,1
59.8,6
69.2,1
51.73333333,6
61.6,2
70.33333333,1
41.26666667,6
69.86666667,1
50.86666667,6
49.73333333,6
55.73333333,3
57.73333333,3
68.6,1
62.13333333,2
56.33333333,3
74.13333333,1
64.66666667,2
60.46666667,2
48.26666667,6
64.73333333,2
73.13333333,1
71.53333333,1
66.06666667,1
66.06666667,1
39.26666667,6
66.06666667,1
60.53333333,6
71.33333333,1
70.66666667,1
73.73333333,1
48.46666667,6
58.6,6
45.13333333,6
69.6,1
73.2,1
68.8,1
71.13333333,1
37,7
67.66666667,1
61,2
53.73333333,4
64.6,1
68,1
57.46666667,3
63.66666667,2
60.73333333,2
66.8,1
50.93333333,6
64,2
52.73333333,6
58.13333333,6
69.2,1
59,3
55.66666667,6
27,7
61.26666667,2
57.73333333,3
71.33333333,1
66.4,1
53.4,4
66.73333333,1
56,3
62.86666667,2
52,6
53.66666667,4
43.53333333,6
50.33333333,6
61.6,2
60.93333333,2
52.6,6
72.2,1
44.66666667,6
52.53333333,4
67.86666667,1
65.53333333,2
73.93333333,1
73.26666667,1
63.86666667,2
60,2
63.8,2
